"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
120020;"ATIVO";"MUNIC";"Cruzeiro do Sul";"Acre";-7,63069;-72,67253;183;8779,438
120025;"ATIVO";"MUNIC";"Epitaciolândia";"Acre";-11,02824;-68,74487;206;1654,768
120030;"ATIVO";"MUNIC";"Feijó";"Acre";-8,16025;-70,35398;160;27975,439
120032;"ATIVO";"MUNIC";"Jordão";"Acre";-9,19336;-71,95088;265;5357,282
120033;"ATIVO";"MUNIC";"Mâncio Lima";"Acre";-7,59322;-72,9165;187;5453,005
120034;"ATIVO";"MUNIC";"Manoel Urbano";"Acre";-8,83632;-69,25994;162;10633,137
120035;"ATIVO";"MUNIC";"Marechal Thaumaturgo";"Acre";-8,95359;-72,79027;215;8191,693
120038;"ATIVO";"MUNIC";"Plácido de Castro";"Acre";-10,33513;-67,18826;129;1943,245
120039;"ATIVO";"MUNIC";"Porto Walter";"Acre";-8,26667;-72,74233;202;6443,826
120040;"ATIVO";"MUNIC";"Rio Branco";"Acre";-9,9783;-67,81053;138;8835,541
120042;"ATIVO";"MUNIC";"Rodrigues Alves";"Acre";-7,7336;-72,64785;190;3076,951
120043;"ATIVO";"MUNIC";"Santa Rosa do Purus";"Acre";-9,44341;-70,4865;217;6145,611
120045;"ATIVO";"MUNIC";"Senador Guiomard";"Acre";-10,14817;-67,74317;208;2321,454
120050;"ATIVO";"MUNIC";"Sena Madureira";"Acre";-9,06534;-68,65568;132;23752,901
120060;"ATIVO";"MUNIC";"Tarauacá";"Acre";-8,15567;-70,7555;172;20171,053
120070;"ATIVO";"MUNIC";"Xapuri";"Acre";-10,65207;-68,50629;173;5347,446
120080;"ATIVO";"MUNIC";"Porto Acre";"Acre";-9,60086;-67,54059;134;2604,875
130000;"IGNOR";"IGNOR";"Município ignorado - AM";"Amazonas";NA;NA;NA;NA
130002;"ATIVO";"MUNIC";"Alvarães";"Amazonas";-3,21658;-64,81353;46;5883,065
130006;"ATIVO";"MUNIC";"Amaturá";"Amazonas";-3,36681;-68,20961;73;4754,109
130008;"ATIVO";"MUNIC";"Anamã";"Amazonas";-3,57637;-61,4059;22;2453,937
130010;"ATIVO";"MUNIC";"Anori";"Amazonas";-3,74539;-61,65896;20;5974,4
130014;"ATIVO";"MUNIC";"Apuí";"Amazonas";-7,19787;-59,88567;133;54246,655
130020;"ATIVO";"MUNIC";"Atalaia do Norte";"Amazonas";-4,36616;-70,18799;76;76345,164
130030;"ATIVO";"MUNIC";"Autazes";"Amazonas";-3,57866;-59,13357;20;7599,363
130040;"ATIVO";"MUNIC";"Barcelos";"Amazonas";-0,9728;-62,92567;35;122451,505
130050;"ATIVO";"MUNIC";"Barreirinha";"Amazonas";-2,79815;-57,06775;11;5750,557
